Country,City,Latitude,Longitude
ad,andorra la vella,42.5,1.5166667
ad,canillo,42.5666667,1.6
ad,encamp,42.5333333,1.5833333
ad,la massana,42.55,1.5166667
ad,les escaldes,42.5,1.5333333
ad,ordino,42.55,1.5333333
ad,sant julia de loria,42.4666667,1.5
ae,abu dhabi,24.466667,54.366667
ae,dubai,25.258172,55.304717
ae,sharjah,25.35731,55.403304
af,acin,34.082481,70.668152
af,anar darreh,32.758698,61.653969
af,andarab,35.633484,69.260195
af,asadabad,34.873113,71.14697
af,asmar,35.033328,71.358087
af,aybak,36.26468,68.015512
af,azrow,34.173553,69.645728
af,baglan,36.130684,68.708286
af,bagrami,34.493761,69.274274
af,baraki barak,33.9675,68.948611
af,cah ab,37.397734,69.814644
af,carikar,35.016585,69.174011
af,ciras,35.416737,65.982341
af,dawlatabad,36.432589,64.920713
af,dawlatabad,36.98782,66.82066
af,deh rawud,32.624131,65.459659
af,eskasem,36.706932,71.570658
af,farah,32.374508,62.116383
af,gardan diwal,34.508977,68.260739
af,gardez,33.597439,69.225922
af,gazni,33.550833,68.4225
af,geresk,31.820894,64.570048
af,herat,34.348167,62.199673
af,jalalabad,34.426468,70.45153
af,jurm,36.864768,70.834207
af,kabul,34.516667,69.183333
af,kholm,36.697362,67.698255
af,khowst,33.339512,69.92041
af,kuhestan,34.653889,61.197778
af,kusk,33.29565,61.952206
af,lar gerd,35.489361,66.664088
af,mehtar lam,34.671389,70.209444
af,mirabad,30.436244,61.838304
af,nahrin,36.064904,69.13343
af,nuristan,34.95,70.4
af,orgun,32.901111,69.152798
af,pagman,34.5875,68.953333
af,panjab,34.387949,67.023273
af,qandahar,31.613323,65.710126
af,qarchi gak,37.039988,66.788912
af,qarqin,37.404464,66.074375
af,qunduz,36.728955,68.857001
af,rostaq,37.126035,69.83045
af,rudbar,30.15,62.6
af,sahrak,34.107375,64.305199
af,sangin,32.072752,64.835903
af,sar-e pul,36.215443,65.932487
af,sharan,33.146667,68.791667
af,shibarghan,36.667567,65.752904
af,sindand,33.302944,62.1474
af,tagab,34.855007,69.64917
af,taloqan,36.734133,69.533559
af,taywarah,33.521176,64.421156
af,tir pol,34.594307,61.268951
af,tokzar,35.948308,66.42132
af,uruzgan,32.927751,66.632534
af,zaranj,30.966667,61.883333
ag,all saints,17.05,-61.8
ag,carlisle,17.1333333,-61.8
ag,codrington,17.6333333,-61.8333333
ag,freetown,17.05,-61.7
ag,liberta,17.0333333,-61.7833333
ag,old road,17.0166667,-61.8333333
ag,parham,17.0833333,-61.7666667
ag,swetes,17.05,-61.8
ai,the valley,18.2166667,-63.05
al,bajram curri,42.3572222,20.0730556
al,ballsh,40.5988889,19.7347222
al,berat,40.7058333,19.9522222
al,bilisht,40.6275,20.99
al,bulqize,41.4916667,20.2219444
al,burrel,41.6102778,20.0088889
al,cerrik,41.0316667,19.9758333
al,corovode,40.5041667,20.2272222
al,delvine,39.9511111,20.0977778
al,durres,41.3230556,19.4413889
al,elbasan,41.1125,20.0822222
al,erseke,40.3377778,20.6788889
al,fier,40.7238889,19.5561111
al,fierze,42.2647222,20.0269444
al,fierze,42.2605556,20.0169444
al,fushe-arrez,42.0622222,20.0166667
al,fushe-kruje,41.4783333,19.7177778
al,gjirokaster,40.0758333,20.1388889
al,gramsh,40.8697222,20.1844444
al,himare,40.1016667,19.7447222
al,kamze,41.3816667,19.7602778
al,kavaje,41.1855556,19.5569444
al,kelcyre,40.3130556,20.1894444
al,kerrabe,41.2155556,19.9713889
al,klos,41.4844444,20.1080556
al,konispol,39.6588889,20.1813889
al,koplik,42.2136111,19.4363889
al,korce,40.6186111,20.7808333
al,kraste,41.4225,20.205
al,kruje,41.5091667,19.7927778
al,kucove,40.8002778,19.9166667
al,kukes,42.0769444,20.4219444
al,kurbnesh,41.7797222,20.0836111
al,lac,41.6355556,19.7130556
al,leskovik,40.1513889,20.5972222
al,lezhe,41.7836111,19.6436111
al,libohove,40.0311111,20.2630556
al,librazhd,41.1794444,20.315
al,lushnje,40.9419444,19.705
al,maliq,40.7058333,20.6997222
al,mamurras,41.5775,19.6922222
al,memaliaj,40.3458333,19.9791667
al,milot,41.6802778,19.7244444
al,orikum,40.3252778,19.4713889
al,patos,40.6833333,19.6194444
al,peqin,41.0461111,19.7511111
al,permet,40.2336111,20.3516667
al,perrenjas,41.0730556,20.5488889
al,peshkopi,41.685,20.4288889
al,pogradec,40.9025,20.6525
al,polican,40.6122222,20.0980556
al,puke,42.0444444,19.8997222
al,roskovec,40.7375,19.7022222
al,rreshen,41.7675,19.8755556
al,rrogozhine,41.0763889,19.6652778
al,rubik,41.7744444,19.7861111
al,sarande,39.8755556,20.0052778
al,selenice,40.5305556,19.6358333
al,shengjin,41.8136111,19.5938889
al,shijak,41.3455556,19.5672222
al,shkoder,42.0675,19.5130556
al,tepelene,40.2958333,20.0191667
al,tirana,41.3275,19.8188889
al,ulze,41.6827778,19.8933333
al,vlore,40.4666667,19.4897222
al,vore,41.3908333,19.655
am,abovyan,40.0488889,44.5475
am,abovyan,40.2691667,44.6244444
am,agarakadzor,39.7363889,45.3455556
am,agarak,40.3077778,44.2847222
am,agarak,41.0105556,44.4675
am,agarak,39.2038889,46.5472222
am,aghavnadzor,40.5841667,44.6913889
am,aghavnadzor,39.7836111,45.2280556
am,aghavnatun,40.2336111,44.2513889
am,akhuryan,40.7813889,43.8963889
am,aknalich,40.1430556,44.1483333
am,aknashen,40.0958333,44.2861111
am,alaverdi,41.1305556,44.6519444
am,amasia,40.9466667,43.7813889
am,amberd,40.2416667,44.2727778
am,anushavan,40.6419444,43.9822222
am,apaga,40.0961111,44.2511111
am,aparan,40.5961111,44.3536111
am,aragats,40.3330556,43.6580556
am,aragats,40.2183333,44.2327778
am,aragyukh,40.4025,44.5436111
am,aramus,40.2511111,44.6630556
am,arapi,40.7797222,43.8005556
am,ararat,39.8094444,44.7144444
am,arazap,40.0427778,44.1458333
am,archis,41.1641667,44.8725
am,areni,39.7208333,45.1838889
am,arevabuyr,40.0361111,44.4688889
am,arevashat,40.1416667,44.3708333
am,arevashogh,40.8613889,44.2727778
am,arevik,40.1005556,44.0969444
am,arevik,40.7361111,43.8927778
am,arevshat,40.0391667,44.5416667
am,arevshat,40.6486111,44.0444444
am,argavand,40.1580556,44.44
am,argavand,40.0608333,44.0952778
am,argel,40.3794444,44.5994444
am,armash,39.7666667,44.8083333
am,armavir,40.0897222,44.0483333
am,arshaluys,40.1688889,44.2141667
am,artashat,39.9538889,44.5505556
am,arteni,40.2983333,43.7541667
am,artimet,40.1513889,44.2663889
am,artsvaberd,40.8336111,45.4711111
am,artsvanist,40.1544444,45.5022222
am,arzakan,40.4494444,44.6063889
am,arzni,40.2963889,44.5958333
am,ashnak,40.3275,43.9166667
am,ashtarak,40.3016667,44.3591667
am,astghadzor,40.1238889,45.3566667
am,avshar,39.8405556,44.6836111
am,aygavan,39.8647222,44.6702778
am,aygedzor,39.4627778,46.4152778
am,aygehovit,40.9744444,45.2519444
am,aygek,40.1886111,44.3833333
am,aygepat,39.95,44.6
am,aygeshat,40.2355556,44.2866667
am,aygeshat,40.0666667,44.0666667
am,aygestan,40.0030556,44.5575
am,aygezard,39.9458333,44.6088889
am,aygut,40.6841667,45.1730556
am,ayrum,41.195,44.8925
am,ayrum,41.1716667,44.8191667
am,azatamut,40.9758333,45.1980556
am,azatan,40.7238889,43.8205556
am,azatavan,39.9833333,44.5
am,azatavan,40.1333333,44.0666667
am,baghramyan,40.1908333,43.8494444
am,bagratashen,41.2458333,44.8211111
am,balahovit,40.2536111,44.6038889
am,bambakashat,40.1144444,44.0122222
am,bardzrashen,40.0852778,44.5786111
am,bazum,40.8680556,44.4455556
am,berdavan,41.2027778,45.0033333
am,berd,40.8808333,45.3916667
am,brnakot,39.4969444,45.9730556
am,brun,39.5338889,46.3030556
am,buzhakan,40.4552778,44.5205556
am,byurakan,40.3413889,44.2736111
am,byuravan,40.0161111,44.5186111
am,byureghavan,40.3147222,44.5936111
am,chambarak,40.5952778,45.3475
am,chochkan,41.1861111,44.8313889
am,dalar,39.9669444,44.5363889
am,dalarik,40.2183333,43.8602778
am,darakert,40.1058333,44.4138889
am,darpas,40.8380556,44.4233333
am,dashtavan,40.1016667,44.3905556
am,ddmashen,40.5719444,44.8122222
am,dilijan,40.7408333,44.8630556
am,dimitrov,40.0080556,44.4880556
am,doghs,40.2227778,44.2716667
am,drakhtik,40.5688889,45.2319444
am,dsegh,40.9633333,44.6516667
am,dvin,40.02,44.5852778
am,dzitankov,40.5155556,43.8133333
am,dzoraghbyur,40.205,44.6430556
am,dzoragyukh,40.1752778,45.175
am,fantan,40.3941667,44.685
am,fioletovo,40.7247222,44.7138889
am,gagarin,40.5369444,44.8577778
am,gandzak,40.3147222,45.1113889
am,garni,40.1194444,44.7230556
am,gavar,40.3588889,45.1266667
am,gay,40.0838889,44.3055556
am,geghamasar,40.3116667,45.68
am,geghamavan,40.5619444,44.8827778
am,geghanist,40.1497222,44.4344444
am,getahovit,40.8958333,45.1313889
am,getashen,40.0433333,43.9447222
am,getazat,40.0380556,44.5638889
am,ghukasavan,40.1261111,44.4177778
am,gladzor,39.7783333,45.3477778
am,gogaran,40.8955556,44.1991667
am,goris,39.5077778,46.3386111
am,gosh,40.7225,45.0033333
am,griboyedov,40.1130556,44.2716667
am,gyulagarak,40.9697222,44.4713889
am,gyumri,40.7894444,43.8475
am,haghartsin,40.7780556,44.9625
am,hayanist,40.1197222,44.3775
am,haykashen,40.0727778,44.3069444
am,haykavan,40.7558333,43.77
am,hnaberd,40.6427778,44.1444444
am,hoktember,40.1361111,44.0138889
am,horom,40.6541667,43.8822222
am,hovtashat,40.1019444,44.3427778
am,hovtashen,40.0244444,44.45
am,hrazdan,40.5016667,44.7547222
am,ijevan,40.8755556,45.1491667
am,janfida,40.0455556,44.0208333
am,jermuk,39.8416667,45.6722222
am,jrahovit,40.0452778,44.4736111
am,jrashen,40.7875,44.1972222
am,jrashen,40.0547222,44.5133333
am,kamaris,40.2358333,44.6938889
am,kamo,40.8280556,43.9483333
am,kanakeravan,40.2472222,44.5366667
am,kapan,39.2011111,46.415
am,kaputan,40.3244444,44.6938889
am,karbi,40.3338889,44.3777778
am,karchaghbyur,40.1638889,45.5722222
am,kasakh,40.5333333,44.4166667
am,khashtarak,40.9386111,45.1797222
am,khndzoresk,39.5122222,46.4336111
am,kosh,40.3072222,44.16
am,lanjaghbyur,40.2730556,45.1444444
am,lchashen,40.5202778,44.9308333
am,lenughi,40.1238889,43.9652778
am,lernakert,40.5669444,43.9361111
am,lernanist,40.4675,44.7980556
am,lernantsk,40.7955556,44.2783333
am,lernapat,40.82,44.3972222
am,lernavan,40.7883333,44.1844444
am,lorut,40.9388889,44.7725
am,lukashin,40.1758333,44.0186111
am,madina,40.0802778,45.2511111
am,maisyan,40.8530556,43.8294444
am,malishka,39.7369444,45.3875
am,maralik,40.5722222,43.8669444
am,margahovit,40.7380556,44.6875
am,margara,40.0336111,44.1738889
am,marmarashen,40.0575,44.4711111
am,marmashen,40.8375,43.7719444
am,martuni,40.1447222,45.3063889
am,masis,40.0138889,44.4858333
am,mayakovski,40.2522222,44.6383333
am,meghradzor,40.6147222,44.6522222
am,meghrashen,40.6758333,43.9486111
am,meghri,38.9022222,46.2383333
am,merdzavan,40.1816667,44.3991667
am,metsamor,40.0713889,44.2891667
am,metsavan,41.2016667,44.2288889
am,mets masrik,40.2186111,45.7694444
am,mets parni,40.8372222,44.1091667
am,mosesgegh,40.9063889,45.4913889
am,mrganush,40.0286111,44.5586111
am,mrgashat,40.1297222,44.0705556
am,mrgashen,40.285,44.5422222
am,mrgavan,39.9661111,44.5333333
am,mrgavet,40.0283333,44.4827778
am,musaler,40.1544444,44.3777778
am,musayelyan,40.7652778,43.9908333
am,myasnikyan,40.1775,43.9063889
am,nalbandyan,40.0677778,43.9855556
am,navur,40.8613889,45.3175
am,nizami,40.0913889,44.4041667
am,norakert,40.1922222,44.3466667
am,noramarg,40.0236111,44.4244444
am,nor armavir,40.0866667,43.99
am,norashen,40.0041667,44.5947222
am,norashen,41.1880556,44.3272222
am,noratus,40.3822222,45.1783333
am,nor geghi,40.3211111,44.5797222
am,nor gyukh,40.2666667,44.6563889
am,nor yerznka,40.3133333,44.4047222
am,noyakert,39.8166667,44.6669444
am,noyemberyan,41.1725,44.9936111
am,nshavan,40.0263889,44.5252778
am,odzun,41.0538889,44.6113889
am,oshakan,40.2705556,44.2691667
am,paravakar,40.9805556,45.3991667
am,pemzashen,40.5933333,43.94
am,pokr mantash,40.65,44.05
am,proshyan,40.2480556,44.415
am,pshatavan,40.0405556,44.0675
am,ptghni,40.2566667,44.585
am,ranchpar,40.0252778,44.3702778
am,rind,39.7597222,45.18
am,samaghar,40.1852778,44.2422222
am,saramech,40.7725,44.2191667
am,saratak,40.67,43.8663889
am,sarigyukh,41.0563889,45.1458333
am,sarukhan,40.2891667,45.1341667
am,sasunik,40.2472222,44.3380556
am,sevan,40.555,44.9536111
am,shaghat,39.5616667,45.9122222
am,shahumyan,39.9308333,44.5783333
am,shahumyan,40.7883333,44.5316667
am,shatin,39.8333333,45.3016667
am,shenavan,40.4861111,44.3825
am,shenavan,40.05,43.9333333
am,shinuhayr,39.4341667,46.3155556
am,shirakamut,40.8605556,44.1527778
am,shirak,40.8480556,43.9213889
am,shnogh,41.1477778,44.8377778
am,sisavan,39.9,44.6666667
am,sisian,39.4627778,45.9730556
am,sis,40.0586111,44.3863889
am,solak,40.4636111,44.7086111
am,sovetakan,40.1133333,44.0552778
am,spandaryan,40.665,44.0188889
am,spitak,40.7955556,44.2783333
am,surenavan,39.75,44.8
am,talin,40.3369444,43.8588889
am,tandzut,40.0772222,44.0886111
am,taronik,40.1330556,44.1991667
am,tashir,41.1244444,44.2819444
am,tazagyukh,40.1416667,45.1913889
am,tegh,39.5547222,46.4758333
am,tsaghkaber,40.7986111,44.1072222
am,tsaghkadzor,40.5386111,44.7113889
am,tsaghkahovit,40.6361111,44.2230556
am,tsiatsan,40.1869444,44.2666667
am,tsovagyugh,40.6330556,44.9522222
am,tsovak,40.1819444,45.635
am,tsovazard,40.4769444,45.0375
am,tsovinar,40.1608333,45.4538889
am,tumanyan,40.9633333,44.6516667
am,urut,41.0711111,44.3969444
am,ushi,40.3536111,44.3686111
am,vagharshapat,40.1727778,44.2925
am,vaghashen,40.1377778,45.3291667
am,vahagni,40.9080556,44.6069444
am,vahan,40.57,45.3955556
am,vanadzor,40.8127778,44.4883333
am,vardablur,40.95,44.4666667
am,vardadzor,40.1916667,45.1875
am,vardenik,40.135,45.4363889
am,vardenis,40.1805556,45.7283333
am,varser,40.5561111,44.9111111
am,vedi,39.9105556,44.7277778
am,verin artashat,40.0005556,44.585
am,verin dvin,40.0252778,44.5908333
